review_date,rating,review_text,cleaned_review_text,llm_labels
2025-06-19 17:41:32,5,ممتازه جدا,ممتازه جدا,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-11-27 15:13:49,5,ممتاز جدا جدا جدا,ممتاز جدا جدا جدا,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2023-11-05 18:28:45,1,التطبيق لا يعمل لدي,التطبيق لا يعمل لدي,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2023-04-28 14:02:10,1,لا يمكن التعامل ببطاقة المرتبات رغم وجود فئة كبيرة تحملها.,لا يمكن التعامل ببطاقة المرتبات رغم وجود فئة كبيرة تحملها.,"[{'aspect_term': 'التعامل مع بطاقات المرتبات', 'polarity': 'negative'}]"
2022-11-18 01:36:27,1,لا يفتح، ولا يستجيب,لا يفتح، ولا يستجيب,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2025-04-09 16:30:33,5,عايزين الرسايل زي الكاش في المتبقي من الرصيد,عايزين الرسايل زي الكاش في المتبقي من الرصيد,"[{'aspect_term': 'الرسائل', 'polarity': 'negative'}]"
2025-05-19 16:39:07,5,ممتازه جدا,ممتازه جدا,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-11-02 17:01:49,5,ممتاز,ممتاز,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2022-12-10 00:12:02,5,جميل جدا,جميل جدا,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2025-03-26 12:56:25,5,ما شاء الله برنامج جميل جدا,ما شاء الله برنامج جميل جدا,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'positive'}]"
2024-08-20 10:58:19,5,جيد جدا,جيد جدا,[]
2025-06-17 09:04:41,5,جميل جدا تحياتي,جميل جدا تحياتي,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-01-25 16:40:35,3,لا يعمل مع سامسونج a32 رسالة التفعيل لأا يتم ارسالها ، برجاء حل المشكلة,لا يعمل مع سامسونج a32 رسالة التفعيل لأا يتم ارسالها ، برجاء حل المشكلة,"[{'aspect_term': 'التوافق مع هواتف سامسونج', 'polarity': 'negative'}, {'aspect_term': 'خدمة الرسائل', 'polarity': 'negative'}]"
2024-06-18 19:40:17,1,مش بيفتح بعد التحديث الاخير ياريت سكون فيه حل,مش بيفتح بعد التحديث الاخير ياريت سكون فيه حل,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2025-04-03 20:08:43,5,ممتاز,ممتاز,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2022-12-22 21:21:31,5,Exlant,Exlant,[]
2022-08-31 21:25:28,1,معاي بطاقه ميزه و مش عارف اسجل على التطبيق لاذم يكون معي حساب في البنك عشان سجل,معاي بطاقه ميزه و مش عارف اسجل على التطبيق لاذم يكون معي حساب في البنك عشان سجل,"[{'aspect_term': 'عملية التسجيل', 'polarity': 'negative'}]"
2024-03-04 09:34:20,5,ممتاز,ممتاز,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2023-07-31 22:18:47,5,ممتاز,ممتاز,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-08-30 22:23:31,5,تطبيق رائع جداً واحب اشكر القائمين على تنفيذه فعلاً سهلى معاملات اكثر من اى محفظه اخره,تطبيق رائع جداً واحب اشكر القائمين على تنفيذه فعلاً سهلى معاملات اكثر من اى محفظه اخره,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'positive'}, {'aspect_term': 'سهولة المعاملات', 'polarity': 'positive'}]"
2022-06-03 16:36:59,4,حلو بس مبيفتحش على طول,حلو بس مبيفتحش على طول,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2024-12-04 08:05:55,5,ممتاز جدا,ممتاز جدا,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2025-03-11 18:41:27,1,البرنامج واقف مش عاوز يفتح مسحته ونزلته تانى باردو مش عاوز يفتح,البرنامج واقف مش عاوز يفتح مسحته ونزلته تانى باردو مش عاوز يفتح,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2024-07-02 20:48:56,5,رائع,رائع,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-08-13 18:20:39,5,ممتاز و فعال جدا,ممتاز و فعال جدا,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'positive'}]"
2025-01-06 12:46:21,5,تطبيق ممتاز,تطبيق ممتاز,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-10-09 18:46:27,1,السلام عليكم ورحمه الله وبركاته يوجد مشكله ببرنامج انستا بي وهو عدم ارسال الرساله النصيه من البرنامج حتى يتم الدخول الى البرنامج بالرجاء الافاده وحل المشكله,السلام عليكم ورحمه الله وبركاته يوجد مشكله ببرنامج انستا بي وهو عدم ارسال الرساله النصيه من البرنامج حتى يتم الدخول الى البرنامج بالرجاء الافاده وحل المشكله,"[{'aspect_term': 'إرسال الرسائل النصية', 'polarity': 'negative'}]"
2025-04-01 22:00:26,5,ممتاز ولكنه يطلب تحديث كثيرا لماذا شكرا جزيلا الرجاء حل لهذا المشكل,ممتاز ولكنه يطلب تحديث كثيرا لماذا شكرا جزيلا الرجاء حل لهذا المشكل,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'positive'}, {'aspect_term': 'تحديثات التطبيق', 'polarity': 'negative'}]"
2025-04-03 10:05:46,5,ممتاز,ممتاز,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2022-11-02 18:28:45,1,التطبيق لا يفتح مع التحديث الاخير,التطبيق لا يفتح مع التحديث الاخير,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2023-01-08 14:25:06,5,ممتاز,ممتاز,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2025-01-28 15:29:09,1,كل ما ابعت رسالة للبرنامج يرد بان رسالة لم ترد رغم فتح الأذونات كاملة,كل ما ابعت رسالة للبرنامج يرد بان رسالة لم ترد رغم فتح الأذونات كاملة,"[{'aspect_term': 'إرسال الرسائل', 'polarity': 'negative'}]"
2025-02-19 22:15:19,5,حلو جدااا بس سعات بيهنج,حلو جدااا بس سعات بيهنج,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}, {'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2025-03-27 15:36:24,1,فيه مشكله في البرنامج من فتره ولا رادي يعرض الرصيد ولا بيحول زي الاول الرجاء الرد,فيه مشكله في البرنامج من فتره ولا رادي يعرض الرصيد ولا بيحول زي الاول الرجاء الرد,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}, {'aspect_term': 'عرض الرصيد', 'polarity': 'negative'}, {'aspect_term': 'تحويل الأموال', 'polarity': 'negative'}]"
2025-07-13 14:52:45,5,جميل جدا ورائع,جميل جدا ورائع,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-09-29 06:26:44,5,ممتاز جدا بس عاوزين انه يتحول للحساب من محفظه فودافون كاش او بنكيه لحسابى على البرنامج وشكرا,ممتاز جدا بس عاوزين انه يتحول للحساب من محفظه فودافون كاش او بنكيه لحسابى على البرنامج وشكرا,"[{'aspect_term': 'تحويل الأموال', 'polarity': 'negative'}]"
2024-07-18 07:39:51,1,جميله جدااا,جميله جدااا,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-10-27 10:39:47,5,تطبيق ممتاز الصراحه,تطبيق ممتاز الصراحه,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-02-11 19:26:51,5,جيد,جيد,[]
2024-07-27 22:26:43,5,ممتازة,ممتازة,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2025-03-30 20:46:55,5,ممتاز,ممتاز,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-12-12 12:59:15,5,انا محتاج اغير رقم الموبيل المسجل علي البرنامج ازي,انا محتاج اغير رقم الموبيل المسجل علي البرنامج ازي,"[{'aspect_term': 'تغيير رقم الهاتف', 'polarity': 'neutral'}]"
2025-09-06 19:50:17,5,ممتاز ابلكيشن,ممتاز ابلكيشن,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'positive'}]"
2024-02-25 17:44:12,5,ليه مفيش شحن رصيد فودافون,ليه مفيش شحن رصيد فودافون,"[{'aspect_term': 'شحن رصيد فودافون', 'polarity': 'negative'}]"
2024-07-11 20:54:54,1,لم يفتح معي التطبيق بعد التحديث تم تحديثه من يوم,لم يفتح معي التطبيق بعد التحديث تم تحديثه من يوم,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2025-04-02 20:48:59,5,احسن حاجه,احسن حاجه,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-10-08 02:32:26,1,مش عايز يبعت الرساله,مش عايز يبعت الرساله,"[{'aspect_term': 'إرسال الرسائل', 'polarity': 'negative'}]"
2025-01-24 17:04:09,5,ممتاز بجد احلى حاجة اتعملت فى مصر,ممتاز بجد احلى حاجة اتعملت فى مصر,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-04-06 19:56:04,5,ليه التطبيق لا يدعم المحفظه والبطاقة الاتمانيه,ليه التطبيق لا يدعم المحفظه والبطاقة الاتمانيه,"[{'aspect_term': 'دعم المحفظة والبطاقة الائتمانية', 'polarity': 'negative'}]"
2024-04-07 14:03:27,1,البرنامج اصبح به العديد من المشاكل التي تواجهنا ونريد حلها,البرنامج اصبح به العديد من المشاكل التي تواجهنا ونريد حلها,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2023-11-20 14:13:25,1,زفت بييجي عند تسجيل بيانات الفيزا ومبيرضاش يكتب,زفت بييجي عند تسجيل بيانات الفيزا ومبيرضاش يكتب,"[{'aspect_term': 'تسجيل بيانات الفيزا', 'polarity': 'negative'}]"
2025-03-25 16:48:35,5,سهل و ممتاز جداً ☺️,سهل و ممتاز جداً ☺️,"[{'aspect_term': 'سهولة الاستخدام', 'polarity': 'positive'}, {'aspect_term': 'الأداء العام', 'polarity': 'positive'}]"
2023-04-19 01:10:53,1,التطبيق عمل تسجيل خروج وموش راضى يفتح تانى بيبعت الرسالة ويجيبلى صفحه بيانات تسجيل جديد وبعد كده الباسوورد ويرجع تاااانى لصفحه الرسالة وهكذا باستمرار انا باعت اكثر من خمسين رسالة حرفيا لغاية دلوقتى والرقم المختصر لخدمة العملاء مابيردش هولد فقط والدعم الفنى عالواتس رسائل آلية مافيهوش حل للمشكلة بتاعتى عايز اتواصل مع حد ازاى اتواصل معاكم ارجو الاهتمام لدقة الموقف وشكرا وكل عام وانتم بخير,التطبيق عمل تسجيل خروج وموش راضى يفتح تانى بيبعت الرسالة ويجيبلى صفحه بيانات تسجيل جديد وبعد كده الباسوورد ويرجع تاااانى لصفحه الرسالة وهكذا باستمرار انا باعت اكثر من خمسين رسالة حرفيا لغاية دلوقتى والرقم المختصر لخدمة العملاء مابيردش هولد فقط والدعم الفنى عالواتس رسائل آلية مافيهوش حل للمشكلة بتاعتى عايز اتواصل مع حد ازاى اتواصل معاكم ارجو الاهتمام لدقة الموقف وشكرا وكل عام وانتم بخير,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}, {'aspect_term': 'خدمة العملاء', 'polarity': 'negative'}, {'aspect_term': 'الدعم الفنى', 'polarity': 'negative'}]"
2025-03-27 01:35:09,1,البرنامج كويس بس في عطل اليومين دول بيقول لا يوجد خدمه مش عارف ليه ارجو حل المشكله,البرنامج كويس بس في عطل اليومين دول بيقول لا يوجد خدمه مش عارف ليه ارجو حل المشكله,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}, {'aspect_term': 'خدمة العملاء', 'polarity': 'negative'}]"
2023-12-08 17:29:22,5,ممتاز جدا,ممتاز جدا,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2025-02-17 17:10:16,1,لو سمحتم عاوز حل للتليفونات الاصدارات القديمه لتوقف عمل البرنامج علي تليفوني والشكوي يعانيها ناس كتير غيري ! برجاء كتابه تعليق حتي يصل المنشور للجهات المختصة لعلاج المشكله وبرجاء حل المشكلة,لو سمحتم عاوز حل للتليفونات الاصدارات القديمه لتوقف عمل البرنامج علي تليفوني والشكوي يعانيها ناس كتير غيري ! برجاء كتابه تعليق حتي يصل المنشور للجهات المختصة لعلاج المشكله وبرجاء حل المشكلة,"[{'aspect_term': 'توافق التطبيق مع الهواتف القديمة', 'polarity': 'negative'}]"
2024-11-19 06:45:59,5,ممتاز,ممتاز,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2023-03-15 16:04:55,5,امتياز,امتياز,[]
2024-07-11 02:34:55,5,جامد,جامد,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-10-05 14:58:35,5,التطبيق لا يعمل,التطبيق لا يعمل,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2024-12-12 22:37:37,5,ماشاء الله,ماشاء الله,[]
2024-04-02 17:48:56,5,مش راضي يشتغل,مش راضي يشتغل,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2024-10-05 17:38:15,3,البرنامج لا يعمل - يعطي غير متصل بالانترنت منذ يومين رغم وجود الشبكة - ما هو الحل,البرنامج لا يعمل - يعطي غير متصل بالانترنت منذ يومين رغم وجود الشبكة - ما هو الحل,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}, {'aspect_term': 'الاتصال بالإنترنت', 'polarity': 'negative'}]"
2023-10-20 22:09:57,5,جميل جدا,جميل جدا,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-07-03 20:00:38,1,تطبيق سيء للغاية كل شوية عذرا رسالتك لم تصلنا ومش عايز يفتح نهائي,تطبيق سيء للغاية كل شوية عذرا رسالتك لم تصلنا ومش عايز يفتح نهائي,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}, {'aspect_term': 'خدمة الرسائل', 'polarity': 'negative'}]"
2025-03-31 01:12:41,5,ممتاز,ممتاز,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2023-05-09 08:32:50,5,برنامج بنكي متميزابروعة الأداء الوظيفي والإداري تحياتي للمتميزين منهم لإعداد هذا العمل الرائع,برنامج بنكي متميزابروعة الأداء الوظيفي والإداري تحياتي للمتميزين منهم لإعداد هذا العمل الرائع,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'positive'}]"
2023-12-10 19:47:38,5,٩٠١٢٨٥,٩٠١٢٨٥,[]
2024-04-14 16:48:25,5,روعه لاكن حاليا مش شغال عندي وفي مشكله ف لاستخدام,روعه لاكن حاليا مش شغال عندي وفي مشكله ف لاستخدام,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2024-09-23 16:44:50,5,ممتاز,ممتاز,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-08-31 18:23:04,5,لو فيه اكتر من خمسه يستاهل,لو فيه اكتر من خمسه يستاهل,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2025-03-19 01:20:48,5,ممتاز,ممتاز,[]
2024-06-04 08:13:47,1,التحديث الاخير تسببت في مشكله عدم فتح البرنامج إيه الحل,التحديث الاخير تسببت في مشكله عدم فتح البرنامج إيه الحل,"[{'aspect_term': 'التحديث', 'polarity': 'negative'}, {'aspect_term': 'فتح البرنامج', 'polarity': 'negative'}]"
2025-08-15 22:52:47,5,ممتاز,ممتاز,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2025-01-09 15:07:48,1,حزفت الابليكشن وبعد تحميله مره اخري لم تصل رسالة التفعيل علما انا متواجد في المملكة العربية السعودية والشريحه المفعله بالبرنامج تعمل غي نفس الموبايل ممكن حل,حزفت الابليكشن وبعد تحميله مره اخري لم تصل رسالة التفعيل علما انا متواجد في المملكة العربية السعودية والشريحه المفعله بالبرنامج تعمل غي نفس الموبايل ممكن حل,"[{'aspect_term': 'رسالة التفعيل', 'polarity': 'negative'}, {'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2024-10-08 11:32:50,5,ارجو تعديل و تحسبن البرنامج,ارجو تعديل و تحسبن البرنامج,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2024-04-19 02:20:31,1,انا عايزه حل لي مشكلة الرساله الي كل شويه تطلع وتقول اني مفيش رساليل اتبعت ومش عارفه اسجل لو سمحتو ارجو اني تعرفوني حل للمشكله دي وارجو الرد ضروري,انا عايزه حل لي مشكلة الرساله الي كل شويه تطلع وتقول اني مفيش رساليل اتبعت ومش عارفه اسجل لو سمحتو ارجو اني تعرفوني حل للمشكله دي وارجو الرد ضروري,"[{'aspect_term': 'رسائل التطبيق', 'polarity': 'negative'}, {'aspect_term': 'عملية التسجيل', 'polarity': 'negative'}]"
2025-02-20 17:01:54,1,لماذا لا يتوفر لموبايل هواوي Y7 2018 ؟,لماذا لا يتوفر لموبايل هواوي Y7 2018 ؟,"[{'aspect_term': 'توافق التطبيق مع الهواتف', 'polarity': 'negative'}]"
2024-11-15 00:22:13,5,ممتاز,ممتاز,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2023-04-21 08:27:33,5,التطبيق ممتاز جدا بصراحه بس انا التطبيق اتمسح من عندى ولمه اسجل الدخول يطلب منى ipa بيوصل رساله فيها ارقام وحروف كتير اعمل ايه واسجل بيها ازاى,التطبيق ممتاز جدا بصراحه بس انا التطبيق اتمسح من عندى ولمه اسجل الدخول يطلب منى ipa بيوصل رساله فيها ارقام وحروف كتير اعمل ايه واسجل بيها ازاى,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'positive'}, {'aspect_term': 'حذف التطبيق', 'polarity': 'negative'}, {'aspect_term': 'عملية تسجيل الدخول', 'polarity': 'negative'}]"
2023-09-11 14:36:04,5,ممتازة (اختراع عظيم),ممتازة (اختراع عظيم),"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-11-04 18:30:38,5,تطبيق ممتاز .. شكرا جزيلا لكم🌹,تطبيق ممتاز .. شكرا جزيلا لكم🌹,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2024-06-04 00:59:34,5,ممتاز جدا,ممتاز جدا,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2025-03-26 15:56:22,1,لم بتم إرساله الرساله تأكيد,لم بتم إرساله الرساله تأكيد,"[{'aspect_term': 'إرسال رسالة التأكيد', 'polarity': 'negative'}]"
2023-10-03 21:33:34,5,جيد,جيد,[]
2024-09-30 07:22:22,5,ممتاذ,ممتاذ,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2025-02-16 19:45:38,5,بًرنِمًجّ جّمًيَلَ,بًرنِمًجّ جّمًيَلَ,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2025-08-09 10:34:22,4,تطبيق رائع جداً ولكن يرجى إضافة بعض التحديثات,تطبيق رائع جداً ولكن يرجى إضافة بعض التحديثات,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'positive'}, {'aspect_term': 'التحديثات', 'polarity': 'neutral'}]"
2025-01-29 19:09:30,5,جيد,جيد,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2025-03-25 18:57:07,5,حميل جدا,حميل جدا,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2025-08-14 09:46:06,3,كان ممتاز بس حاليا مش عارف اسجل دخول,كان ممتاز بس حاليا مش عارف اسجل دخول,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'positive'}, {'aspect_term': 'تسجيل الدخول', 'polarity': 'negative'}]"
2024-01-05 22:40:02,1,أم انا بقي مش عارف اسطب البرنامج لوحد يعرف يعرفني,أم انا بقي مش عارف اسطب البرنامج لوحد يعرف يعرفني,"[{'aspect_term': 'تنزيل التطبيق', 'polarity': 'negative'}]"
2025-01-14 15:26:51,1,برنامج صعب في التسجيل بقالي 3 شهور بحاول اسجله وحتى الآن لم يسجل اتصلت بخدمه انستاباي قالوا لي ارجع لدعم الفنى فودافون لتنشيط خدمه رسايل المختصره وبالفعل تم تنشيطها وللأسف مشكله ذي ماهى فبرجاء حل مشكله وشكرا,برنامج صعب في التسجيل بقالي 3 شهور بحاول اسجله وحتى الآن لم يسجل اتصلت بخدمه انستاباي قالوا لي ارجع لدعم الفنى فودافون لتنشيط خدمه رسايل المختصره وبالفعل تم تنشيطها وللأسف مشكله ذي ماهى فبرجاء حل مشكله وشكرا,"[{'aspect_term': 'عملية التسجيل', 'polarity': 'negative'}, {'aspect_term': 'خدمة العملاء', 'polarity': 'negative'}, {'aspect_term': 'دعم فنى فودافون', 'polarity': 'negative'}]"
2025-04-01 18:34:03,5,ممتاز,ممتاز,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2023-09-14 10:56:02,5,رائع جدا,رائع جدا,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2025-03-12 16:36:00,1,التطبيق متوقف على هاتفى ما المشكله,التطبيق متوقف على هاتفى ما المشكله,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'negative'}]"
2025-03-13 20:55:15,5,ممتازه,ممتازه,"[{'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2023-11-18 08:11:56,3,فى دفع فواتير الكهرباء لا توجد كهرباء الاسكندرية,فى دفع فواتير الكهرباء لا توجد كهرباء الاسكندرية,"[{'aspect_term': 'دفع فواتير الكهرباء', 'polarity': 'negative'}]"
2024-11-27 20:04:37,1,ياريت يبقي في تحديث اننا نقدر نغير الاسم اليوز نيم لان ناس كتير كتبت غلط ومعناش فيزا تانيه علشان نحذف ونحط غيرها ارجو المساعده ضروري في التحديث الجاي,ياريت يبقي في تحديث اننا نقدر نغير الاسم اليوز نيم لان ناس كتير كتبت غلط ومعناش فيزا تانيه علشان نحذف ونحط غيرها ارجو المساعده ضروري في التحديث الجاي,"[{'aspect_term': 'تغيير اليوزر نيم', 'polarity': 'negative'}]"
2023-10-24 15:21:28,5,انصح بة,انصح بة,[]
2024-06-11 00:31:12,5,تطبيق ممتاز جداً جداً جداً شكراً للقائمين عليه ننتظر من حضراتكم المزيد,تطبيق ممتاز جداً جداً جداً شكراً للقائمين عليه ننتظر من حضراتكم المزيد,"[{'aspect_term': 'أداء التطبيق', 'polarity': 'positive'}]"
2024-04-16 17:46:05,5,جميل جدا وسهل الاستخدام,جميل جدا وسهل الاستخدام,"[{'aspect_term': 'سهولة الاستخدام', 'polarity': 'positive'}, {'aspect_term': 'التطبيق', 'polarity': 'positive'}]"
2023-08-05 13:52:13,3,محتاج حد من خدمة العملاء اتواصل معاه لاني عندي مشكله في الحساب بتاعي,محتاج حد من خدمة العملاء اتواصل معاه لاني عندي مشكله في الحساب بتاعي,"[{'aspect_term': 'خدمة العملاء', 'polarity': 'negative'}]"
