review_date,rating,review_text,cleaned_review_text
2025-08-20 15:50:42,5,ممتاز جداد جدا,ممتاز جداد جدا
2023-06-12 16:12:07,1,تم تنزيل التطبيق ولكن اواجه صعوبة في التسجيل التطبيق لايعمل,تم تنزيل التطبيق ولكن اواجه صعوبة في التسجيل التطبيق لايعمل
2022-11-23 00:04:07,5,لسا منزله ولسا مش عارف اي مشاكله,لسا منزله ولسا مش عارف اي مشاكله
2024-11-28 15:17:09,5,ممتاز,ممتاز
2025-04-01 22:03:00,5,جيد جدا,جيد جدا
2024-11-22 06:37:02,5,تطبيق رائع,تطبيق رائع
2024-03-16 01:42:50,5,ممتاز جدا,ممتاز جدا
2024-12-24 12:08:46,5,ممتاز,ممتاز
2022-09-24 01:46:40,1,البرنامج تم تثبيته أكثر من مره ولا يعمل ارجوا الحل,البرنامج تم تثبيته أكثر من مره ولا يعمل ارجوا الحل
2025-04-01 11:29:22,1,للاسف مفيش خدمه الايداع بدون كارت للاسف كمان خربتوه زي اي حاجه بتنجح في مصر برسوم تحويل واستغلال الفقير,للاسف مفيش خدمه الايداع بدون كارت للاسف كمان خربتوه زي اي حاجه بتنجح في مصر برسوم تحويل واستغلال الفقير
2024-08-20 21:48:59,1,تجربة سيئة جدا وخاصة خدمة العملاء تتميز بنوع من الجهل الممنهج,تجربة سيئة جدا وخاصة خدمة العملاء تتميز بنوع من الجهل الممنهج
2024-03-24 15:10:55,5,ماشاءالله توفيروقت ومجهودوانتظارودقة متاهية,ماشاءالله توفيروقت ومجهودوانتظارودقة متاهية
2023-09-04 23:34:08,5,پس المشكله الرسااله مش بتوصل ارجو الرد سريعااا,پس المشكله الرسااله مش بتوصل ارجو الرد سريعااا
2022-03-18 02:04:08,5,نتمني إضافة البريد المصري للتطبيق و حرفيا التطبيق مفيد جدا و ممتاز و اكيد مع الوقت هيتطور للأحسن و لو في اي مشاكل فنيه فيه هتتحل ❤️👍🏻🌹,نتمني إضافة البريد المصري للتطبيق و حرفيا التطبيق مفيد جدا و ممتاز و اكيد مع الوقت هيتطور للأحسن و لو في اي مشاكل فنيه فيه هتتحل ❤️👍🏻🌹
2025-09-03 10:10:08,1,ممتاز,ممتاز
2024-07-18 14:03:10,5,روعه,روعه
2023-10-30 00:18:07,5,جيد جدا جدا جدا,جيد جدا جدا جدا
2023-04-10 17:40:21,1,لايمكن للتطبيق ارسال الرساله التشغيل,لايمكن للتطبيق ارسال الرساله التشغيل
2025-04-16 21:14:04,3,محتاج تحديث,محتاج تحديث
2024-05-23 14:24:00,5,ممتاز,ممتاز
2024-03-21 18:46:05,5,جيد جدا,جيد جدا
2025-04-02 20:39:38,5,up 8,up 8
2025-03-31 22:29:38,5,ممتاز,ممتاز
2024-01-30 08:01:20,5,Perfect,Perfect
2024-04-22 20:42:40,5,ممتازه,ممتازه
2022-10-26 22:14:25,5,ممتاز,ممتاز
2024-07-18 22:11:44,5,أرجو مساعدتي لإضافة البرنامج على هاتفي الجديد من شركة هواوي,أرجو مساعدتي لإضافة البرنامج على هاتفي الجديد من شركة هواوي
2024-07-08 13:17:30,5,كويس جدا,كويس جدا
2024-08-29 14:19:54,5,ممتاز,ممتاز
2023-12-29 11:10:35,1,البرنامج مش شغال,البرنامج مش شغال
2022-05-02 14:58:35,5,ممتاز وياريت اضافه البريد المصري,ممتاز وياريت اضافه البريد المصري
2024-07-01 16:22:34,4,برنامج رائع لكن الفتره الاخيره يقوم بتحديثات,برنامج رائع لكن الفتره الاخيره يقوم بتحديثات
2025-07-14 07:45:22,5,جميل,جميل
2025-04-08 12:52:02,3,عندي مشكلة في الابلكيشن اتمنا حد من الدعم الفني يتوصل معايا,عندي مشكلة في الابلكيشن اتمنا حد من الدعم الفني يتوصل معايا
2024-09-04 02:23:18,3,البرنامج كنت بدفع بية فواتير لاكن الابلكيشن فئة مشكله بقالها ٤ ايام لا يدفع الفواتير. برجاء سرعه الحل,البرنامج كنت بدفع بية فواتير لاكن الابلكيشن فئة مشكله بقالها ٤ ايام لا يدفع الفواتير. برجاء سرعه الحل
2025-09-04 10:26:09,5,ممتاز,ممتاز
2024-10-08 19:53:21,4,البرنامج ممتازه جدا بس من اول امبارح لحد انهارده في مشكله في البرنامج مش شغل,البرنامج ممتازه جدا بس من اول امبارح لحد انهارده في مشكله في البرنامج مش شغل
2024-09-23 09:19:00,5,برنامج رائع,برنامج رائع
2024-04-23 21:26:38,1,البرنامج بطل يشحن رصيد للخطوط,البرنامج بطل يشحن رصيد للخطوط
2022-11-17 09:16:54,1,لا يعمل,لا يعمل
2025-03-04 03:43:50,5,💪💪,💪💪
2023-10-29 14:28:46,1,لا يوجد رقم شريحه اتصال إيه العمل,لا يوجد رقم شريحه اتصال إيه العمل
2024-12-07 10:46:54,5,ممتاز,ممتاز
2023-11-24 09:33:10,1,التطبيق بقاله اكتر من شهر ونص مش راضي يفتح عملت له إلغاء تثبيت ونزلته مرة تانية بردو مش راضي يفتح موبيلي سامسونج أندرويد عايزة اعرف فين المشكلة,التطبيق بقاله اكتر من شهر ونص مش راضي يفتح عملت له إلغاء تثبيت ونزلته مرة تانية بردو مش راضي يفتح موبيلي سامسونج أندرويد عايزة اعرف فين المشكلة
2023-09-16 13:16:38,1,حاليا التطبيق لا يعمل مش بيفتح برجاء حل المشكله,حاليا التطبيق لا يعمل مش بيفتح برجاء حل المشكله
2022-05-16 07:10:21,1,بسجل بالرقم مش بيسجل مع انه نفس الرقم المستخدم في البنك,بسجل بالرقم مش بيسجل مع انه نفس الرقم المستخدم في البنك
2024-11-28 16:31:33,1,كان كويس حاليا لايعمل,كان كويس حاليا لايعمل
2023-03-09 12:54:47,5,ممتاز,ممتاز
2025-05-13 15:03:12,5,ممتاز,ممتاز
2025-03-13 16:57:00,5,لماذا لم يتم قبول الرساله والفتح مع انه كان يعمل منذ بومين والان توقف ولم يقبل الرساله النصيه لماذا توقف ارجو الافاده والدخول للدعم بيرعه,لماذا لم يتم قبول الرساله والفتح مع انه كان يعمل منذ بومين والان توقف ولم يقبل الرساله النصيه لماذا توقف ارجو الافاده والدخول للدعم بيرعه
2024-02-29 09:48:52,1,استخدم هذا البرنامج ع عدة اجهزة لأفراد مختلفين، بعضهم يظل يعرض صفحة كود الهاتف بشكل متكرر دون التخطي لدخول البرنامج,استخدم هذا البرنامج ع عدة اجهزة لأفراد مختلفين، بعضهم يظل يعرض صفحة كود الهاتف بشكل متكرر دون التخطي لدخول البرنامج
2024-10-05 17:04:35,5,ممتازه جدا لو ممكن اضافه تحديث لاضافة خاصيهNFC لقرائة كارت المياة و الغاز والكهرباء يكون فوق الممتاز تحياتى الرجاء مراجعه اقتراحى🌹,ممتازه جدا لو ممكن اضافه تحديث لاضافة خاصيهNFC لقرائة كارت المياة و الغاز والكهرباء يكون فوق الممتاز تحياتى الرجاء مراجعه اقتراحى🌹
2023-11-09 20:43:22,5,Very good,Very good
2025-02-25 02:12:46,1,التطبيق مش بيفتح معايا نهائيا ومحدش بيرد عليا,التطبيق مش بيفتح معايا نهائيا ومحدش بيرد عليا
2024-05-17 03:13:28,4,مش عاوز يثبت,مش عاوز يثبت
2023-11-09 04:52:45,5,من أفضل التطبيقات التى استخدمتها,من أفضل التطبيقات التى استخدمتها
2025-09-02 15:01:08,4,تمام,تمام
2025-02-10 13:40:22,1,سي جدااااا,سي جدااااا
2024-10-03 17:24:20,1,لا استطيع التسجيل يفتح مرة ثم يغلق ويرسل انتهاء الفترة الزمنية ارجو حل المشكلة في اقرب وقت,لا استطيع التسجيل يفتح مرة ثم يغلق ويرسل انتهاء الفترة الزمنية ارجو حل المشكلة في اقرب وقت
2025-01-21 12:40:41,1,نزلت البرنامج وكل ما اختار الشريحه وابعت الرسالة يقول عذرا لم تصل رسالتك مع العلم منحته ارسال واستقبال الرسائل,نزلت البرنامج وكل ما اختار الشريحه وابعت الرسالة يقول عذرا لم تصل رسالتك مع العلم منحته ارسال واستقبال الرسائل
2022-10-22 19:03:20,5,روعهههههههههه,روعهههههههههه
2022-07-03 14:06:54,1,البرنامج مش عارف اشغله بيقولى رقم تليفونك غير مسجل في البنك الاهلي اتصلت بالبنك الرقم متسجل اعمل ايه علشان اشغل البرنامج,البرنامج مش عارف اشغله بيقولى رقم تليفونك غير مسجل في البنك الاهلي اتصلت بالبنك الرقم متسجل اعمل ايه علشان اشغل البرنامج
2025-02-05 13:35:48,5,ممتازه,ممتازه
2023-12-31 13:24:40,5,اوعه,اوعه
2025-03-31 17:39:33,5,منتاز,منتاز
2025-07-05 23:11:27,1,طبيق سئ جدا لا يعمل,طبيق سئ جدا لا يعمل
2024-07-29 19:14:44,1,لم يعمل,لم يعمل
2025-04-04 05:18:15,5,جيد جدا,جيد جدا
2023-09-08 23:36:25,5,برجاء إضافة جميع البنوك في مصر بالإضافة إلي موقع البريد المصري لسهولة التعامل شكراً للقائمين علي البرنامج,برجاء إضافة جميع البنوك في مصر بالإضافة إلي موقع البريد المصري لسهولة التعامل شكراً للقائمين علي البرنامج
2024-12-03 17:38:01,5,ممتاز,ممتاز
2025-03-15 13:01:04,1,التطبيق عند تسجيل البنك يطلب المحاولة فيما بعد اكثر من مره. ارجو معرفة السبب,التطبيق عند تسجيل البنك يطلب المحاولة فيما بعد اكثر من مره. ارجو معرفة السبب
2025-03-30 16:31:16,5,بل توفيق,بل توفيق
2024-09-27 21:48:02,5,نريد. تحسن في الخدمة,نريد. تحسن في الخدمة
2024-08-24 13:43:10,5,my best app,my best app
2024-09-23 14:14:18,5,من افضل البرامج اللي اتعاملت معاها سهل وبسيط ووفر عليا كتيرر,من افضل البرامج اللي اتعاملت معاها سهل وبسيط ووفر عليا كتيرر
2023-04-19 13:08:03,5,تطبيق رائع جدا جدا,تطبيق رائع جدا جدا
2024-01-22 16:28:53,1,سيء للغايه,سيء للغايه
2022-04-17 00:40:41,4,** هل التطبيق معتمد من البنك المركزي او يخضع للمراقبة من قبل جهة حكومية ام لا ؟ ** يرجي إضافة اكثر من رقم موبايل لسهولة التعامل مع اكتر من حساب في اكثر من بنك.,** هل التطبيق معتمد من البنك المركزي او يخضع للمراقبة من قبل جهة حكومية ام لا ؟ ** يرجي إضافة اكثر من رقم موبايل لسهولة التعامل مع اكتر من حساب في اكثر من بنك.
2025-06-28 23:19:40,5,👍🏻👍🏻👍🏻👍🏻,👍🏻👍🏻👍🏻👍🏻
2024-11-01 22:37:32,1,حاولت تحميل البرنامج ويعطي رسالة عند إستلام الرسالة النصية سواء من شبكة wifi أو شبكة الهاتف ولا يكمل تحكيل,حاولت تحميل البرنامج ويعطي رسالة عند إستلام الرسالة النصية سواء من شبكة wifi أو شبكة الهاتف ولا يكمل تحكيل
2025-04-07 04:41:38,5,التعامل اون لاين,التعامل اون لاين
2024-03-21 20:55:16,5,أكثر من رائع,أكثر من رائع
2025-06-11 09:39:17,5,👍,👍
2025-07-30 19:11:26,5,برنامج جميل جدا سهل فى تحويل الأموال بدون الذهاب إلى اى ماكينه دفع,برنامج جميل جدا سهل فى تحويل الأموال بدون الذهاب إلى اى ماكينه دفع
2024-02-16 17:02:24,5,ممتاز بس ليه مش موجود تحويل رصيد فودافون ال موجود فودافون نت بس,ممتاز بس ليه مش موجود تحويل رصيد فودافون ال موجود فودافون نت بس
2024-07-05 12:07:03,5,تطبيق ممتاز,تطبيق ممتاز
2022-12-10 02:44:56,1,بعد التحديث الي 1.5.1 من الاصدار البرنامج لا يعمل ليه اكتر من شهر يفتح ويخرج لوحده برجاء وجود حل من البنك المركزي المصري ضروري.. وتم تحديث الطبيق لاخر اصدار وبرده نفس المشكله .. . برجاء وجود حل,بعد التحديث الي 1.5.1 من الاصدار البرنامج لا يعمل ليه اكتر من شهر يفتح ويخرج لوحده برجاء وجود حل من البنك المركزي المصري ضروري.. وتم تحديث الطبيق لاخر اصدار وبرده نفس المشكله .. . برجاء وجود حل
2024-09-24 18:25:50,5,برنامج ممتاز جدا,برنامج ممتاز جدا
2025-07-08 21:20:52,5,مميز جدا,مميز جدا
2024-12-02 00:00:41,5,انا نسيت العنوان بتاعي الرئيسي ال هو iPa اي الحل,انا نسيت العنوان بتاعي الرئيسي ال هو iPa اي الحل
2022-12-14 11:18:28,5,تم,تم
2024-09-04 12:55:44,5,حقيقي برنامج ممتاز جداً و خدمة العملة عندهم ممتازة و محترمين جداً,حقيقي برنامج ممتاز جداً و خدمة العملة عندهم ممتازة و محترمين جداً
2023-09-27 17:06:38,5,برنامج رائع,برنامج رائع
2024-07-15 18:21:27,5,برنامج جميل جدا,برنامج جميل جدا
2023-09-10 22:27:09,1,التطبيق لا يقبل ارسال رسالة من خط موبينيل من خارج مصر كل الشركات شغاله الا موبينيل,التطبيق لا يقبل ارسال رسالة من خط موبينيل من خارج مصر كل الشركات شغاله الا موبينيل
2025-08-27 02:34:34,1,عندي مشكلة إني بحاول أفعّل إنستا باي وببعت الرسالة لـ 4551، بس بيظهرلي (حدث خطأ) ومش بكمل التسجيل رغم إن معايا رصيد كافي.,عندي مشكلة إني بحاول أفعّل إنستا باي وببعت الرسالة لـ 4551، بس بيظهرلي (حدث خطأ) ومش بكمل التسجيل رغم إن معايا رصيد كافي.
2025-06-29 07:12:38,2,من بعد التحديث الأخير الرصيد الموجود مش بيكون الرصيد الفعلي ولما بسحب الرصيد بكون زي ما هو بس مش حقيقي,من بعد التحديث الأخير الرصيد الموجود مش بيكون الرصيد الفعلي ولما بسحب الرصيد بكون زي ما هو بس مش حقيقي
2025-03-12 15:05:38,1,بعد اخر تحديث مش راضى يخلينى ادخل عالبرهامج ومسحته وحملته تانى اكتر من مره,بعد اخر تحديث مش راضى يخلينى ادخل عالبرهامج ومسحته وحملته تانى اكتر من مره
2025-04-01 21:19:22,5,ممتاز جدا جدا جدا,ممتاز جدا جدا جدا
2024-12-29 14:26:43,5,ناجحة,ناجحة
2024-03-21 00:24:53,1,ساعات بيعلق مش بيشتغل,ساعات بيعلق مش بيشتغل
2024-10-02 19:41:30,3,البرنامج كان كويس لكن مبقاش يفتح رغم حذف برامج لتفضية مساحه,البرنامج كان كويس لكن مبقاش يفتح رغم حذف برامج لتفضية مساحه
2025-02-27 14:30:09,1,انهو لا يفتح في الوقت المناسب لماذا اكتر الأوقات في آخر الشهر😭,انهو لا يفتح في الوقت المناسب لماذا اكتر الأوقات في آخر الشهر😭
2024-01-28 07:41:12,5,رائع جدا,رائع جدا
2025-02-02 12:22:33,5,جامد,جامد
2024-09-14 06:22:35,5,ممتاز,ممتاز
2024-08-03 14:24:04,5,حلو,حلو
2024-08-03 20:48:18,1,ميفتحش على تلفون هواوي هل من حل,ميفتحش على تلفون هواوي هل من حل
2023-09-21 14:30:19,5,ممتاز,ممتاز
2022-07-06 14:05:21,3,في مشكلة في البرنامج مش عايز يعنل رقم سري البنك بيبعتلي الرقم عشان افعل الحساب والبرنامج بيفضل يحمل وبعد كده يخرج,في مشكلة في البرنامج مش عايز يعنل رقم سري البنك بيبعتلي الرقم عشان افعل الحساب والبرنامج بيفضل يحمل وبعد كده يخرج
2022-10-15 21:13:43,3,مشكلة تعليق فى البرنامج وعدم اضافة اكثر من حساب,مشكلة تعليق فى البرنامج وعدم اضافة اكثر من حساب
2024-10-05 07:46:24,3,التطبيق لا يعمل.. يعطي خارج الاتصال ارجو الحل,التطبيق لا يعمل.. يعطي خارج الاتصال ارجو الحل
2025-03-31 00:56:37,5,جباره ومنتزه جدا,جباره ومنتزه جدا
2023-08-27 14:23:57,1,خرااااااا كل شوية يكتب حدث مشكلة اثناء التسجيل ابلكيشن رخيص,خرااااااا كل شوية يكتب حدث مشكلة اثناء التسجيل ابلكيشن رخيص
2023-01-05 23:37:19,3,جيد الي حد ما بطئ نسبيا لا استطيع مسح سجل التحويلات,جيد الي حد ما بطئ نسبيا لا استطيع مسح سجل التحويلات
2025-05-03 18:26:05,5,excellent,excellent
2023-08-12 08:29:59,5,رائع وأمن نرجو الاستمرار على هذا النهج وإضافة دفع الفواتير,رائع وأمن نرجو الاستمرار على هذا النهج وإضافة دفع الفواتير
2025-06-11 14:03:08,5,تطبيق انستا بي ممتاز جدا 😀🤑🤑🤑🤑🤑🤑,تطبيق انستا بي ممتاز جدا 😀🤑🤑🤑🤑🤑🤑
2025-03-31 13:48:29,5,ريحني في التعاملات بين البنوك,ريحني في التعاملات بين البنوك
2023-02-26 13:54:09,5,كويس,كويس
2025-03-25 16:50:08,5,رائع,رائع
2024-02-21 16:25:17,5,جميل جدا بس يا ريت يكون في شحن الكهرباء الكرت,جميل جدا بس يا ريت يكون في شحن الكهرباء الكرت
2024-09-09 12:28:43,2,لا تتم دفع الفواتير الرجاء اتخاذ اللازم .,لا تتم دفع الفواتير الرجاء اتخاذ اللازم .
2023-09-01 09:22:50,5,Good 👍,Good 👍
2025-04-01 22:23:26,1,سي جدا,سي جدا
2025-08-27 12:40:59,5,اكثر من ممتازة,اكثر من ممتازة
2025-06-30 11:35:54,5,ok,ok
2025-05-15 22:30:29,5,جميل جدا,جميل جدا
2025-02-27 16:31:53,1,انا استخدم التطبيق ولكن لما ارسل النقود أو أستفسر عن الرصيد يقول الخدمه غير متاحه وبعدين مسحت التطبيق ونزلته من جديد ولكن الخدمه غير متاحه,انا استخدم التطبيق ولكن لما ارسل النقود أو أستفسر عن الرصيد يقول الخدمه غير متاحه وبعدين مسحت التطبيق ونزلته من جديد ولكن الخدمه غير متاحه
2023-04-30 02:29:49,4,برنامج رائع وسهل لكن برجاء إضافة امكانية ان من يقوم بالتحويل ينشئ رقم عشوائي من 4 ارقام ولا يتم الاستلام من الطرف الاخر الا بإدخال هذه الارقام. منعا للخطا وزيادة في التأكيد عند التحويل.,برنامج رائع وسهل لكن برجاء إضافة امكانية ان من يقوم بالتحويل ينشئ رقم عشوائي من 4 ارقام ولا يتم الاستلام من الطرف الاخر الا بإدخال هذه الارقام. منعا للخطا وزيادة في التأكيد عند التحويل.
2023-07-08 10:41:20,5,ممتازة,ممتازة
2025-07-04 11:19:21,3,البرنامج عطلان عندي من كذا شهر لا يستقبل ولا يرسل ولا حتى شغال استعلام عن الرصيد.. البنك بيقول دي مشكلة من التطبيق والتطبيق بيقول المشكلة من البنك! ايه الحل؟,البرنامج عطلان عندي من كذا شهر لا يستقبل ولا يرسل ولا حتى شغال استعلام عن الرصيد.. البنك بيقول دي مشكلة من التطبيق والتطبيق بيقول المشكلة من البنك! ايه الحل؟
2024-09-23 22:55:42,5,جيد جدا,جيد جدا
2023-11-09 07:16:11,5,ممتاز جدا ما شاء الله يا رب يفضل دائما على طول,ممتاز جدا ما شاء الله يا رب يفضل دائما على طول
